Joueur,Adversaire,Nombre de rencontres,Nombre de victoires,% Victoire,Nombre de rencontres (hard),Nombre de victoires (hard),% Victoire (hard),Nombre de rencontres (clay),Nombre de victoires (clay),% Victoire (clay),Nombre de rencontres (grass),Nombre de victoires (grass),% Victoire (grass),Nombre de rencontres (various),Nombre de victoires (various),% Victoire (various),player_key,Rang,player_bday,Nombre titres total,Victoire totale,Victoire Hard,Victoire Clay,Victoire Grass,Age,% victoire général,% victoire hard,% victoire clay,% victoire grass,matches_won_top100,% victoire contre top 100
M. Vondrousova,O. Jabeur,3.0,2.0,66.66666666666666,2.0,1.0,50.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2814.0,0.0,28.06.1999,10.0,273.0,155.0,85.0,29.0,24.0,22.22222222222222,22.22222222222222,0.0,0.0,0.0,0.0
M. Vondrousova,K. Muchova,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.0,0.0,28.06.1999,10.0,273.0,155.0,85.0,29.0,24.0,22.22222222222222,22.22222222222222,0.0,0.0,0.0,0.0
M. Vondrousova,Q. Zheng,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2814.0,0.0,28.06.1999,10.0,273.0,155.0,85.0,29.0,24.0,22.22222222222222,22.22222222222222,0.0,0.0,0.0,0.0
M. Vondrousova,I. Swiatek,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.0,0.0,28.06.1999,10.0,273.0,155.0,85.0,29.0,24.0,22.22222222222222,22.22222222222222,0.0,0.0,0.0,0.0
M. Vondrousova,M. Keys,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.0,0.0,28.06.1999,10.0,273.0,155.0,85.0,29.0,24.0,22.22222222222222,22.22222222222222,0.0,0.0,0.0,0.0
M. Vondrousova,A. Pavlyuchenkova,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.0,0.0,28.06.1999,10.0,273.0,155.0,85.0,29.0,24.0,22.22222222222222,22.22222222222222,0.0,0.0,0.0,0.0
M. Vondrousova,A. Sabalenka,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.0,0.0,28.06.1999,10.0,273.0,155.0,85.0,29.0,24.0,22.22222222222222,22.22222222222222,0.0,0.0,0.0,0.0
A. Bondar,T. Babos,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,0.0,27.05.1997,19.0,280.0,94.0,173.0,5.0,27.0,54.54545454545454,47.05882352941176,60.0,0.0,0.0,0.0
A. Bondar,Q. Zheng,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,0.0,27.05.1997,19.0,280.0,94.0,173.0,5.0,27.0,54.54545454545454,47.05882352941176,60.0,0.0,0.0,0.0
A. Bondar,A. Bogdan,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,0.0,27.05.1997,19.0,280.0,94.0,173.0,5.0,27.0,54.54545454545454,47.05882352941176,60.0,0.0,0.0,0.0
L. Stefanini,L. Fruhvirtova,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.0,123.0,15.05.1998,8.0,154.0,91.0,51.0,12.0,26.0,64.28571428571429,64.28571428571429,0.0,0.0,0.0,0.0
L. Stefanini,E. Arango,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.0,123.0,15.05.1998,8.0,154.0,91.0,51.0,12.0,26.0,64.28571428571429,64.28571428571429,0.0,0.0,0.0,0.0
