player_key,player_name,player_country,player_bday,player_logo,season,type,rank,titles,matches_won,matches_lost,hard_won,hard_lost,clay_won,clay_lost,grass_won,grass_lost
7,E. Vyrlan,USA,01.01.1970,,2021,doubles,,0,1,1,1,1,,,,
7,E. Vyrlan,USA,01.01.1970,,2022,singles,1174,0,6,10,6,10,,,,
7,E. Vyrlan,USA,01.01.1970,,2021,singles,,0,0,1,0,1,,,,
7,E. Vyrlan,USA,01.01.1970,,2023,doubles,1515,0,2,6,2,6,,,,
7,E. Vyrlan,USA,01.01.1970,,2023,singles,1076,0,4,11,4,11,,,,
7,E. Vyrlan,USA,01.01.1970,,2024,doubles,1551,0,0,1,0,1,,,,
8,M. Morales,Guatemala,04.12.1990,,2022,doubles,1040,0,7,7,6,6,,,,
8,M. Morales,Guatemala,04.12.1990,,2021,doubles,959,0,8,5,4,4,2,1,,
8,M. Morales,Guatemala,04.12.1990,,2019,doubles,796,0,0,1,0,1,,,,
8,M. Morales,Guatemala,04.12.1990,,2018,doubles,,0,0,2,,,0,2,,
8,M. Morales,Guatemala,04.12.1990,,2017,doubles,861,0,3,0,,,3,0,,
8,M. Morales,Guatemala,04.12.1990,,2022,singles,1195,0,3,10,3,6,0,2,,
8,M. Morales,Guatemala,04.12.1990,,2021,singles,1301,0,5,4,2,3,0,1,,
8,M. Morales,Guatemala,04.12.1990,,2019,singles,1064,0,4,0,4,0,,,,
8,M. Morales,Guatemala,04.12.1990,,2018,singles,,0,0,1,,,0,1,,
8,M. Morales,Guatemala,04.12.1990,,2017,singles,1223,0,2,0,,,2,0,,
8,M. Morales,Guatemala,04.12.1990,,2023,doubles,1215,0,1,5,1,2,,,,
8,M. Morales,Guatemala,04.12.1990,,2023,singles,1335,0,1,2,,,,,,
10,K. Marthiens,France,01.04.2004,,2021,doubles,1265,0,2,6,2,2,0,4,,
10,K. Marthiens,France,01.04.2004,,2020,doubles,1203,0,3,3,,,3,3,,
10,K. Marthiens,France,01.04.2004,,,singles,,,,,,,,,,
10,K. Marthiens,France,01.04.2004,,1,singles,1,1,1,1,1,1,1,1,1,1
10,K. Marthiens,France,01.04.2004,,2,singles,2,2,2,2,2,2,2,2,2,2
10,K. Marthiens,France,01.04.2004,,0,singles,0,0,0,0,0,0,0,0,0,0
10,K. Marthiens,France,01.04.2004,,2022,doubles,1339,0,0,2,,,0,2,,
10,K. Marthiens,France,01.04.2004,,2022,singles,1311,0,0,2,,,0,2,,
10,K. Marthiens,France,01.04.2004,,2021,singles,1169,0,3,11,2,6,1,5,,
11,M. Laki,Greece,24.03.2005,,2022,doubles,658,3,24,9,20,8,4,1,,
11,M. Laki,Greece,24.03.2005,,2021,doubles,1581,0,5,7,1,1,4,5,0,1
11,M. Laki,Greece,24.03.2005,,2020,doubles,,0,0,1,,,0,1,,
11,M. Laki,Greece,24.03.2005,,2022,singles,590,0,28,19,17,10,10,7,0,1
11,M. Laki,Greece,24.03.2005,,2021,singles,926,1,15,8,1,2,14,5,0,1
11,M. Laki,Greece,24.03.2005,,2020,singles,1280,0,4,4,,,4,3,,
11,M. Laki,Greece,24.03.2005,,2023,doubles,1428,0,3,8,0,2,3,6,,
11,M. Laki,Greece,24.03.2005,,2023,singles,516,3,30,21,2,8,28,13,,
11,M. Laki,Greece,24.03.2005,,2024,singles,555,0,7,6,3,3,4,3,,
11,M. Laki,Greece,24.03.2005,,2024,doubles,1014,0,5,5,1,1,4,4,,
12,L. Salvi,Italy,01.01.1970,,2022,doubles,1189,0,8,14,0,3,8,11,,
12,L. Salvi,Italy,01.01.1970,,2021,doubles,1551,0,5,11,0,5,5,6,,
12,L. Salvi,Italy,01.01.1970,,2020,doubles,,0,0,1,0,1,,,,
12,L. Salvi,Italy,01.01.1970,,2022,singles,1156,0,7,16,0,2,7,14,,
12,L. Salvi,Italy,01.01.1970,,2021,singles,974,0,7,11,2,4,5,7,,
