id_match,bookmaker,cote_Home,cote_Away
11950260,Betano,2.25,1.65
11950260,Betway,2.20,1.65
11950260,Tipico,2.15,1.62
11950260,Betcris,2.15,1.68
11950336,NordicBet,5.00,1.17
11950336,10Bet,4.50,1.17
11950336,WilliamHill,4.50,1.20
11950336,bet365,5.00,1.16
11950336,Marathon,5.05,1.17
11950336,Unibet,5.20,1.17
11950336,Betfair,5.50,1.21
11950336,Betsson,5.00,1.17
11950336,188bet,5.00,1.16
11950336,Pncl,5.60,1.18
11950336,Sbo,3.94,1.18
11950336,1xbet,4.96,1.18
11950336,Betano,5.10,1.17
11950336,Betway,5.25,1.15
11950336,Tipico,5.00,1.13
11950336,Betcris,5.00,1.16
11950138,NordicBet,2.35,1.60
11950138,10Bet,2.30,1.57
11950138,bet365,2.37,1.57
11950138,Marathon,2.32,1.61
11950138,Unibet,2.32,1.61
11950138,Betfair,2.48,1.66
11950138,Betsson,2.35,1.60
11950138,Pncl,2.44,1.63
11950138,Sbo,2.25,1.60
11950138,1xbet,2.29,1.63
11950138,Betano,2.30,1.62
11950138,Betway,2.30,1.60
11950138,Tipico,2.35,1.57
11950138,Betcris,2.35,1.58
11950144,NordicBet,2.50,1.52
11950144,10Bet,2.40,1.53
11950144,bet365,2.50,1.53
11950144,Marathon,2.54,1.52
11950144,Unibet,2.50,1.53
11950144,Betfair,2.58,1.63
11950144,Betsson,2.50,1.52
11950144,Pncl,2.58,1.57
11950144,Sbo,2.38,1.54
11950144,1xbet,2.50,1.54
11950144,Betano,2.55,1.52
11950144,Betway,2.40,1.55
11950144,Tipico,2.55,1.50
11950144,Betcris,2.48,1.52
11950153,NordicBet,3.10,1.38
11950153,10Bet,3.00,1.36
11950153,bet365,3.20,1.36
11950153,Marathon,3.10,1.37
11950153,Unibet,3.05,1.38
11950153,Betfair,3.25,1.42
11950153,Betsson,3.10,1.38
11950153,Pncl,3.22,1.40
11950153,Sbo,2.81,1.37
11950153,1xbet,3.08,1.38
11950153,Betano,3.10,1.37
11950153,Betway,3.20,1.35
11950153,Tipico,3.10,1.35
11950153,Betcris,3.10,1.36
11950156,NordicBet,1.52,2.50
11950156,10Bet,1.53,2.40
11950156,bet365,1.53,2.50
11950156,Marathon,1.55,2.46
11950156,Unibet,1.58,2.38
11950156,Betfair,1.59,2.66
11950156,Betsson,1.52,2.50
11950156,188bet,1.52,2.48
11950156,Pncl,1.57,2.58
11950156,Sbo,1.53,2.40
11950156,1xbet,1.57,2.43
11950156,Betano,1.52,2.57
11950156,Betway,1.55,2.40
11950156,Tipico,1.55,2.40
11950156,Betcris,1.54,2.43
11950157,NordicBet,1.42,2.90
11950157,10Bet,1.40,2.80
11950157,bet365,1.40,3.00
11950157,Marathon,1.41,2.92
11950157,Unibet,1.42,2.90
11950157,Betfair,1.47,3.05
11950157,Betsson,1.42,2.90
11950157,Pncl,1.45,2.97
11950157,Sbo,1.42,2.66
11950157,1xbet,1.42,2.90
11950157,Betano,1.40,3.00
11950157,Betway,1.40,2.90
11950157,Tipico,1.35,3.10
11950157,Betcris,1.39,2.95
11950160,NordicBet,1.20,4.60
11950160,10Bet,1.18,4.50
11950160,bet365,1.16,5.00
11950160,Marathon,1.19,4.80
11950160,Unibet,1.20,4.70
11950160,Betfair,1.23,5.00
11950160,Betsson,1.20,4.60
11950160,Pncl,1.22,4.93
11950160,Sbo,1.19,3.85
11950160,1xbet,1.20,4.72
11950160,Betano,1.18,5.00
11950160,Betway,1.18,4.75
11950160,Tipico,1.16,5.00
11950160,Betcris,1.18,4.80
11950161,NordicBet,6.60,1.11
11950161,10Bet,6.00,1.11
11950161,bet365,6.50,1.11
11950161,Marathon,5.35,1.16
11950161,Unibet,6.50,1.12
11950161,Betfair,7.40,1.15
