event_key,score_first,score_second,score_set
4374,4,6,2
4375,4,6,1
4375,6,4,2
4375,1,6,3
4376,2,6,1
4376,6,4,2
4376,6,1,3
4377,7.9,6.7,1
4377,5,7,2
4377,1,3,3
4378,2,6,1
4378,7.7,6.5,2
4378,6,2,3
4379,3,6,1
4379,6,1,2
4379,6,4,3
4380,6.5,7.7,1
4380,7,5,2
4381,6,3,1
4381,4,6,2
4382,6,4,1
4382,6,3,2
4383,7.8,6.6,1
4383,6,2,2
11707212,3,6,1
11707212,4,6,2
11707213,4,6,1
11707213,6,3,2
11707213,4,6,3
11707214,6.4,7.7,1
11707214,5,7,2
11707215,6,4,1
11707215,6,4,2
11707216,6,4,1
11707216,7.7,6.3,2
11707217,6,3,1
11707217,3,6,2
11707217,5,7,3
11707218,6,4,1
11707218,6,2,2
11707219,6,3,1
11707219,7,5,2
126943,3,6,1
126943,7.7,6.5,2
126943,3,6,3
126944,2,6,1
126944,2,6,2
126968,2,6,1
126968,3,6,2
126969,7.8,6.6,1
126969,6,4,2
126970,6.5,7.7,1
126970,2,6,2
126971,2,6,1
126971,3,6,2
4384,6,4,1
4384,6,4,2
4385,6,3,1
4385,6.4,7.7,2
4385,6,4,3
4386,4,6,1
4386,7.7,6.3,2
4386,6,3,3
4387,2,6,1
4387,6.6,7.8,2
4418,4,6,1
4418,1,6,2
4419,5,7,1
4419,6,4,2
4419,6,3,3
4420,6.7,7.9,1
4420,2,6,2
4421,7.7,6.3,1
4421,4,6,2
4421,6,3,3
4422,3,6,1
4422,2,6,2
4423,3,6,1
4423,6,1,2
4423,3,6,3
4424,4,6,1
4424,4,6,2
4425,4,6,1
4425,6,3,2
4425,3,6,3
4426,1,6,1
4426,2,6,2
4427,3,6,1
4427,4,6,2
4428,4,6,1
4428,6,3,2
4428,7.10,6.5,3
4429,1,6,1
4429,4,6,2
4430,3,6,1
4430,5,7,2
4431,7.7,6.3,1
4431,6,2,2
4432,6,2,1
4432,3,6,2
4432,1,6,3
4433,6,3,1
4433,6,4,2
4434,6,4,1
4434,6,2,2
4435,3,6,1
4435,6,2,2
4435,6,1,3
4436,6,3,1
4436,1,6,2
4436,6.5,7.10,3
11707220,2,6,1
11707220,6,1,2
11707220,6.4,7.7,3
4437,4,6,1
4437,6,1,2
4437,6,2,3
11707221,6.2,7.7,1
11707221,6.0,7.7,2
4438,4,6,1
4438,2,6,2
11707222,3,6,1
11707222,1,6,2
4439,4,6,1
4439,6,2,2
4439,6,1,3
11707223,6,2,1
11707223,6,3,2
4440,6,3,1
4440,6,3,2
11707224,4,6,1
11707224,4,6,2
4441,4,6,1
4441,6,1,2
4441,4,6,3
11707225,6.5,7.7,1
11707225,4,6,2
4442,4,6,1
4442,4,6,2
11707226,6,3,1
11707226,7,5,2
4443,3,6,1
4443,5,7,2
11707227,3,6,1
11707227,1,6,2
4444,6,2,1
4444,6,4,2
4445,7,5,1
4445,6.4,7.7,2
4445,6,2,3
126945,6,2,1
126945,6,4,2
