event_key,score_first,score_second,score_set
11687092,4,6,1
11687092,6,4,2
11687092,6,3,3
11687092,7.7,6.5,4
11687093,3,6,1
11687093,6,4,3
11687093,2,6,4
11687094,5,7,1
11687094,6,3,2
11687094,6,1,3
11687095,6,2,1
11687095,1,6,2
11687095,6.4,7.7,3
11687095,6.7,7.9,4
11687096,1,6,1
11687096,3,6,2
11687096,6,4,3
11687096,2,6,4
11687097,5,7,1
11687097,6,4,2
11687097,6,2,3
11687097,6,4,4
11687098,6,4,1
11687098,5,7,2
11687098,4,6,3
11687098,3,6,4
11687099,6,3,1
11687099,2,6,2
11687099,3,6,3
11687099,6,4,4
11687099,6,3,5
11687100,7.7,6.4,1
11687100,4,6,2
11687100,4,6,3
11687100,4,6,4
11687101,7.7,6.3,1
11687101,5,7,2
11687101,3,6,3
11687101,7.10,6.3,5
11687102,3,6,2
11687102,4,6,3
11687102,6,3,4
11687102,6,4,5
11687103,7.7,6.3,1
11687103,6,4,2
11687103,4,6,3
11687103,6,4,4
11687143,6.11,7.13,1
11687143,6,3,2
11687143,3,6,3
11687143,2,6,4
11687144,4,6,1
11687144,4,6,2
11687144,4,6,3
11687145,6,4,1
11687145,4,6,2
11687145,6,4,3
11687145,6,3,4
11687146,1,6,1
11687146,7,5,2
11687146,2,6,3
11687146,6,4,4
11687146,3,6,5
11687147,4,6,1
11687147,6,3,2
11687147,4,6,3
11687147,6,4,4
11687147,3,6,5
11687148,1,6,1
11687148,4,6,2
11687148,6.4,7.7,3
11687149,5,7,1
11687149,6,4,2
11687149,5,7,3
11687149,7.7,6.3,4
11687149,4,6,5
11687150,6.3,7.7,1
11687150,6.0,7.7,2
11687150,4,6,3
11687151,3,6,1
11687151,7.9,6.7,2
11687151,7.7,6.0,3
11687151,5,7,4
11687151,3,6,5
11687152,6.5,7.7,1
11687152,2,6,2
11687152,7,5,3
11687152,2,6,4
11687153,6.6,7.8,1
11687153,6,3,2
11687153,6,1,3
11687153,6.5,7.7,4
11687153,6,3,5
2732329,4,6,1
2732329,6,1,2
2732329,3,6,3
2732330,4,6,1
2732330,6,3,2
2732330,6.4,7.7,3
2732331,4,6,1
2732331,6,1,2
2732331,7.7,6.5,3
2732332,2,6,1
2732332,2,6,2
2732333,1,6,1
2732333,6,3,2
2732333,3,6,3
2732334,2,6,1
2732334,2,6,2
2732335,6.5,7.7,1
2732335,3,6,2
2732336,6,3,1
2732336,1,6,2
2732336,4,6,3
2732337,4,6,1
2732337,6,2,2
2732337,5,7,3
2732338,6,4,1
2732338,6,2,2
2732339,2,6,1
2732339,7.7,6.5,2
2732339,7,5,3
2732340,6,4,1
2732340,6,3,2
2732341,6.4,7.7,1
2732341,6,2,2
2732341,6,1,3
2732342,6,4,1
2732342,4,6,2
2732342,6,4,3
2732343,7.7,6.5,1
2732343,7.7,6.5,2
2732344,6,2,1
2732344,6.2,7.7,2
2732344,5,7,3
2732345,6,2,1
2732345,6,4,2
2732346,2,6,1
2732346,6.2,7.7,2
2732347,3,6,1
2732347,6,1,2
2732347,4,6,3
2732348,4,6,1
2732349,6,1,1
2732349,6,4,2
2732350,6,4,1
2732350,3,6,2
2732350,6,3,3
2732351,3,6,1
2732351,4,6,2
2732352,7.8,6.6,1
2732352,1,6,2
2732352,6,3,3
2741398,3,6,1
2741398,2,6,2
2741399,2,6,1
2741399,2,6,2
2741513,6,1,1
2741513,4,6,2
2741513,6.8,7.10,3
2741514,6,2,1
2741514,6,2,2
2741515,5,7,1
2741515,6,2,2
2741515,6,1,3
2741516,6,1,1
2741516,1,6,2
2741516,2,6,3
2741517,6,1,1
2741517,6,2,2
2741518,6,1,2
2741519,3,6,1
2741519,6.3,7.7,2
2741520,6,4,1
2741520,6,2,2
2741521,2,6,1
2741521,4,6,2
2741522,2,6,1
2741522,2,6,2
2741523,6,2,1
2741523,6.5,7.7,2
2741523,6,2,3
2741524,4,6,1
2741524,6,3,2
2741524,3,10,3
166933,6,4,1
166933,4,5,2
2741525,6,3,1
2741525,6,2,2
2741527,7.7,6.2,1
2741527,6,4,2
2741528,3,6,1
2741528,6.3,7.7,2
2741530,4,6,1
2741530,4,6,2
2732361,6,3,1
2732361,6,3,2
2732362,1,6,1
2732362,6,3,2
2732362,3,6,3
2732363,5,7,1
2732363,6.3,7.7,2
2732364,3,6,1
2732364,7,5,2
2732364,3,6,3
2732365,6,2,1
2732365,6,2,2
2732366,4,6,1
2732366,6.3,7.7,2
2732367,4,6,1
2732367,6.6,7.8,2
2732368,3,6,1
2732368,4,6,2
2741417,7.7,6.1,1
2741417,7,5,2
2741418,2,6,1
2741418,7,5,2
2741418,8,10,3
2741419,6,2,1
2741419,6,2,2
2741420,6,4,1
2741420,5,7,3
2741421,6,2,1
2741421,6,1,2
2741422,6,1,1
2741422,6,1,2
2741423,2,6,1
2741423,1,6,2
2741424,6,2,1
2741424,6,3,2
2741425,6,3,1
2741425,6,1,2
2741426,6,3,1
2741426,1,6,2
2741426,7.7,6.4,3
2741427,4,6,1
2741427,2,6,2
2741428,6,4,1
2741428,6,3,2
2741429,6,2,1
2741429,6,2,2
2741430,2,6,1
2741430,4,6,2
11794375,3,6,1
11794375,1,6,2
11794376,6,3,1
11794376,1,6,2
11794376,2,6,3
11794377,6.5,7.7,1
11794377,2,6,2
11794378,6,1,1
11794378,6,1,2
11794379,6,3,1
11794379,6.6,7.8,2
11794379,2,6,3
2741531,6,1,1
2741531,6,2,2
2741532,3,4,1
2741533,6,2,1
2741533,6,1,2
2741534,6,3,1
2741534,7,5,2
2741535,3,6,1
2741535,6,2,2
2741535,6,1,3
2741536,1,6,1
2732369,6,1,1
2732369,7,5,2
2732370,6,4,1
2732370,6,3,2
2732371,6,4,1
2732371,6,4,2
2732372,6.6,7.8,1
2732372,1,6,2
2732373,6,1,1
2732373,6,3,2
2732374,4,6,1
2732374,6,3,2
2732374,3,6,3
2732375,4,6,1
2732375,3,6,2
2732376,6,4,1
2732376,7.7,6.1,2
2741431,7.7,6.3,1
2741431,1,6,2
2741431,6,4,3
2741432,6,4,1
2741432,7,5,2
2741433,6.3,7.7,1
2741433,6,2,2
2741433,6,2,3
2741434,1,6,1
2741434,6,4,2
2741434,6,4,3
2741435,1,6,1
2741435,2,6,2
11700929,7.7,6.5,1
11700929,7.7,6.3,2
11700930,4,6,1
11700930,7,5,2
11700930,6,2,3
11700931,6,4,1
11700931,6,4,2
11700932,6.4,7.7,1
11700932,7,5,2
11700932,6,2,3
11700933,6,4,1
11700933,6.4,7.7,2
11700933,6,2,3
11700934,4,6,1
11700934,3,6,2
11700935,3,6,1
11700935,4,6,2
11700936,7.7,6.3,1
11794380,6,2,1
11794380,3,6,2
11794381,7.7,6.1,1
11794381,7.7,6.2,2
11794382,6,1,1
11794382,7.7,6.3,2
11794383,4,6,1
11794383,7,5,2
11794383,5,7,3
11794384,7,5,1
11794384,7.7,6.4,2
11794385,7.7,6.5,1
11794385,7.9,6.7,2
11794386,6,3,1
11794386,6,4,2
2741436,3,6,1
11700937,3,6,1
11700937,4,6,2
11700938,5,7,1
11700938,1,6,2
11700939,6,3,1
11700939,3,6,2
11700939,6,3,3
11700940,6.4,7.7,1
11700940,6,2,2
11700941,3,6,1
11700941,6.2,7.7,2
11700942,5,7,1
11700942,3,6,2
11794387,5,7,1
11794387,6,4,2
11794387,1,6,3
11794388,7.8,6.6,1
11794388,6,3,2
11700954,6.11,7.13,1
11700954,3,6,2
11700955,7.7,6.4,1
11700955,4,6,2
11700955,3,6,3
11700956,7.7,6.2,1
11700956,6,4,2
11700957,4,6,1
11700957,3,6,2
11700958,3,6,1
11700958,4,6,2
11794398,3,6,1
11794398,6.4,7.7,2
11700959,4,6,1
11700959,7.9,6.7,2
11700959,3,6,3
11794399,5,7,1
11794399,2,6,2
11700960,6,4,1
11700960,4,1,2
11794400,6,4,1
11794400,6,3,2
11794401,5,7,1
11794401,6,1,2
11794401,6,4,3
11794402,3,6,1
11794402,5,7,2
11794403,4,6,1
11794403,6,3,2
11794403,2,6,3
11794404,6,1,1
11794404,6,3,2
11755049,6,4,1
11755049,5,7,2
11755049,10,7,3
11755050,6,2,1
11755050,6,1,2
11755051,7,5,1
11755051,3,6,2
11755051,7,10,3
11700961,6,4,1
11700961,6,4,2
11700962,3,6,1
11700962,2,6,2
11700963,6,4,1
11700963,4,6,2
11700963,7.7,6.5,3
11700964,3,6,1
11700964,7,5,2
11700964,4,6,3
11794405,6,4,1
11794405,6,4,2
11794406,6,3,1
11794406,6,4,2
11794407,7.7,6.5,1
11794407,6,3,2
11794408,6,1,1
11794408,6,3,2
11770202,4,6,1
11770202,6.4,7.7,2
11770203,7.7,6.1,1
11770203,6,1,2
11770204,6,2,1
11770204,4,6,2
11770204,1,6,3
11770205,5,7,1
11770205,4,6,2
11770206,6,3,1
11770206,4,6,2
11770206,2,6,3
11770207,5,7,1
11770207,7.7,6.3,2
11770207,6,4,3
11769957,1,2,1
11769958,6,4,1
11769958,6,4,2
11769959,3,6,1
11769959,4,6,2
11769960,4,6,1
11769960,2,6,2
11723198,6,3,1
11723198,7.7,6.3,2
11723199,2,6,1
11723199,6,3,2
11723199,6,4,3
11723200,6,4,1
11723200,6,2,2
11723201,6,3,1
11723201,6,4,2
11723202,5,7,1
11723202,2,6,2
11723203,5,7,1
11723203,3,6,2
11723204,6.8,7.10,1
11723204,6,4,2
11723204,5,7,3
11794413,4,6,1
11794413,4,6,2
11770221,4,6,1
11770221,6,4,2
11770221,3,6,3
11770222,6,4,1
11770222,6,2,2
11770223,3,6,1
11770223,6,2,2
11770223,6.7,7.9,3
11770224,3,6,1
11770224,2,6,2
11770225,6,3,2
11769971,2,6,1
11769971,2,6,2
11769972,6,3,1
11769972,6,4,2
11769973,6.5,7.7,1
11769973,7.7,6.4,2
11769973,2,6,3
11769974,3,6,1
11769974,4,6,2
11769975,2,6,1
11769975,4,6,2
11769976,6,2,1
11769976,3,6,2
11769976,6,3,3
11723216,6,3,1
11723216,6,1,2
11723217,6,4,1
11723217,2,6,2
11723217,4,6,3
11723218,7.7,6.1,1
11723218,4,6,2
11723218,3,6,3
11723219,6,3,1
11723219,3,6,2
11723219,6,2,3
11723220,6,3,1
11723220,6,4,2
11723221,1,6,1
11723221,6,4,2
11723221,6,3,3
11768609,1,6,1
11768609,3,6,2
11768610,6,1,1
11768610,6,4,2
11768611,3,6,1
11768611,3,6,2
11768612,6,1,1
11768612,6,4,2
11768613,7,5,1
11768613,6.0,7.7,2
11768613,2,6,3
11768614,7.10,6.8,1
11768614,2,6,2
11768614,1,6,3
11770230,6,1,1
11770230,7.7,6.3,2
11770231,5,7,1
11770231,3,6,2
11769981,7,5,1
11769981,6,4,2
11769982,6,3,1
11769982,4,6,2
11769982,6,3,3
11687634,3,6,1
11687634,4,6,2
11687635,6,4,1
11687635,6.5,7.7,2
11687635,5,7,3
11687636,4,6,1
11687636,4,6,2
11687637,6,3,1
11687637,6,4,2
11687638,7.7,6.3,1
11687638,6,3,2
11687639,6,3,1
11687639,6,1,2
11687640,6,2,2
11687641,5,7,1
11687641,3,6,2
11723226,6.5,7.7,1
11723226,5,7,2
11723227,7,5,1
11723227,4,6,2
11723227,2,5,3
11768625,6,4,1
11768625,6,4,2
11768626,4,6,1
11768626,6.3,7.7,2
11768627,6,3,1
11768627,6,4,2
11768628,6.4,7.7,1
11768628,2,6,2
11768629,5,7,1
11768629,3,6,2
11768631,3,6,1
11768631,1,6,2
11687650,7.7,6.4,1
11687650,6.2,7.7,2
11687650,6,3,3
11687651,6,3,1
11687651,6,2,2
11687652,4,6,1
11687652,6.4,7.7,2
11687653,7.7,6.3,1
11687653,1,6,2
11687653,4,6,3
11687654,3,6,1
11687654,3,6,2
11687655,6,4,1
11687655,3,6,2
11687655,7.7,6.1,3
11687656,6,3,1
11687656,6,1,2
11687657,6.2,7.7,1
11687657,2,6,2
11687658,6,1,1
11687658,6,3,2
11768632,3,6,1
11768632,2,6,2
11768633,5,7,1
11768633,7.7,6.4,2
11768633,6,2,3
11768635,6,3,1
11768635,1,6,2
11768635,5,7,3
11768636,6,1,1
11768636,7.7,6.5,2
11768637,1,6,1
11768637,1,6,2
11768638,7.7,6.2,1
11768638,7.7,6.3,2
11687659,3,6,1
11687659,7.7,6.4,2
11687659,2,6,3
11687660,2,6,1
11687660,7.7,6.1,2
11687660,6,2,3
11687661,6,3,1
11687661,7.7,6.3,2
11687662,2,6,1
11687662,7.7,6.2,2
11687662,1,6,3
11687663,6,4,1
11687663,3,6,2
11687663,1,6,3
11768639,6,2,1
11768639,3,6,2
11768639,3,6,3
11768640,4,6,1
11768640,4,6,2
11768641,3,6,1
11768641,1,6,2
11768642,3,6,1
11768642,2,6,2
11687664,6,1,1
11687664,7.9,6.7,2
11687665,6,3,1
11687665,3,6,2
11687665,7.7,6.4,3
11687666,3,6,1
11687666,6,2,2
11687666,6,2,3
11687667,5,7,1
11687667,2,6,2
11687668,6,3,1
11687668,6,1,2
11687669,1,6,1
11687669,6,3,2
11687669,4,6,3
11769092,6,3,1
11769092,2,1,2
11769093,2,6,1
11769093,1,6,2
11769094,4,6,1
11769094,6,2,2
11769094,6,1,3
11769095,3,6,1
11769095,2,6,2
11769096,6,4,1
11769096,5,7,2
11769096,4,6,3
11831865,4,6,1
11831865,5,7,2
11831866,6.5,7.7,1
11831866,4,4,2
11831867,6,3,1
11831867,6,3,2
11831868,6,2,1
11831869,3,6,1
11769097,1,6,1
11769097,2,6,2
11769098,7,5,1
11769098,6,2,2
11769099,6,3,1
11769099,4,6,2
11769099,2,6,3
11769100,4,6,1
11769100,4,6,2
11769101,2,6,1
11769101,2,6,2
11769102,6.4,7.7,1
11769102,6.6,7.8,2
11831870,4,6,1
11831871,6,1,1
11831871,3,6,2
11831872,4,6,1
11831872,6,4,2
11831872,6,2,3
11831873,5,7,1
11831873,2,6,2
11831874,6,3,1
11831874,6.5,7.7,2
11831874,6,4,3
11769103,6,4,1
11769103,4,6,2
11769103,6,1,3
11769104,1,6,1
11769104,7.8,6.6,2
11769104,1,6,3
11769105,6,3,1
11769105,6,4,2
11769106,5,7,1
11769106,7.7,6.5,2
11769106,7,5,3
11769107,7,5,1
11769107,6,4,2
11831875,7.7,6.2,1
11831876,4,6,1
11831876,2,6,2
11831877,3,6,1
11831877,6.3,7.7,2
11831878,6,4,1
11831878,6,1,2
11831879,4,6,1
11831879,6.3,7.7,2
11831880,3,6,1
11831880,6,4,2
11769108,4,6,1
11769108,5,7,2
11769109,3,6,1
11769109,4,6,2
11769110,6,3,1
11769111,6,4,1
11769111,6.2,7.7,2
11769111,6,2,3
11831881,7.7,6.5,1
11831881,6,2,2
11831882,2,6,1
11831882,7,5,2
11831882,7.7,6.3,3
11831883,6,3,1
11831883,5,7,2
11831883,6,4,3
11831884,5,7,1
11831884,6,4,2
11831884,6,4,3
11769112,6,4,1
11769112,6,2,2
11769113,6,3,1
11769113,5,7,2
11769113,1,6,3
11769114,6,3,1
11769114,6,2,2
11769115,6,3,1
11769115,6,4,2
11831885,4,6,1
11831885,3,6,2
11831886,7,5,1
11831886,6,3,2
11831887,4,6,1
11831887,6,3,2
11831887,7.18,6.16,3
11831888,4,6,1
11831888,6,1,2
11831888,1,6,3
11769116,6,4,1
11769116,6,4,2
11769117,6,2,1
11769117,6,3,2
11703112,1,6,1
11703112,6.5,7.7,2
11703113,6,2,1
11703113,6,3,2
11703114,7,5,1
11703114,6,3,2
11703115,3,6,1
11703115,2,6,2
11703116,4,6,1
11703116,1,6,2
11703117,7.7,6.4,1
11703117,7,5,2
11703118,3,6,1
11703118,3,6,2
11703119,4,6,1
11703119,3,6,2
11831889,6,4,1
11831889,6,4,2
11831890,7.7,6.2,1
11831890,6,3,2
11739406,7,6,1
11739406,6,3,2
11739407,6,2,1
11739407,6,2,2
11739410,1,6,1
11739410,1,6,2
11739411,6,1,1
11739411,6,1,2
11832642,7,5,1
11832642,6,4,2
11832643,6,4,1
11832643,6,2,2
11832645,6,2,1
11832645,6,4,2
11832646,7,5,1
11832646,3,6,2
11832646,6,3,3
11832647,6,3,1
11832647,6,4,2
11703124,6,4,1
11703124,6.5,7.7,2
11703124,4,6,3
11703125,2,6,1
11703125,4,6,2
11703126,7,5,1
11703126,6,2,2
11703127,3,6,1
11703127,2,6,2
11726978,7.7,6.3,1
11726978,6,3,2
11726979,6.7,7.9,1
11726979,2,6,2
11726980,6.11,7.13,1
11726980,6,4,2
11726980,2,6,3
11726981,7.11,6.9,1
11726982,6,1,1
11726982,6,2,2
11726983,6,3,1
11726983,6,4,2
11726984,6,2,1
11726984,6.4,7.7,2
11726984,4,6,3
11739412,1,6,1
11739413,6,2,1
11739414,6,1,1
11739414,6,4,2
11739415,6,3,1
11739415,6,3,2
11739416,6,2,1
11739417,1,6,1
11739417,1,6,2
11739418,6,1,1
11739418,6,3,2
11832648,6,3,1
11832648,6,3,2
11832649,1,6,1
11832649,6,3,2
11832649,4,6,3
11832650,4,6,1
11832650,4,6,2
11832651,7,5,1
11832651,7.7,6.5,2
11832652,1,6,1
11832652,2,6,2
11703128,6,3,1
11703128,6,1,2
11703129,6,4,1
11703129,6,2,2
11703130,6,3,1
11703130,6,2,2
11703131,6,4,1
11703131,1,6,2
11703131,7.7,6.5,3
11703132,7,5,1
11703132,4,6,2
11703132,3,6,3
11703133,7,5,1
11703133,4,6,2
11703133,1,6,3
11726985,7.9,6.7,1
11726985,4,6,2
11726985,6.4,7.7,3
11726986,6,3,1
11726986,6,4,2
11726987,7,5,1
11726987,2,6,2
11726987,6.1,7.7,3
11726988,2,6,1
11726988,4,6,2
11726989,7,5,1
11726989,6.3,7.7,2
11726989,3,6,3
11726990,6.7,7.9,1
11726990,7,5,2
11726990,4,6,3
11739438,6,4,1
11739438,2,6,2
11739438,2,6,3
11739439,6,4,1
11739439,6,2,2
11739440,1,6,1
11739440,6,2,2
11739440,4,6,3
11739441,1,6,1
11739441,4,6,2
11739443,1,6,1
11739443,1,6,2
11739444,6,3,1
11739444,6,3,2
11739445,5,7,1
11739445,3,6,2
11703868,6,4,1
11703868,7.7,6.3,2
11703869,6,3,1
11703869,6,3,2
11703870,6,4,1
11703870,6.5,7.7,2
11703870,6,2,3
11703871,4,6,1
11703871,6.2,7.7,2
11703872,6,3,1
11703872,6.3,7.7,2
11703872,4,6,3
11703873,6,3,1
11703873,6,4,2
11703874,2,6,1
11703874,6.2,7.7,2
11703875,7,5,1
11703875,6,1,2
11832672,6,3,1
11832672,6.2,7.7,2
11832672,3,6,3
11832673,3,6,1
11832673,4,6,2
11703148,6,4,1
11703148,6.1,7.7,2
11703148,5,7,3
11703149,6,2,1
11703149,6,2,2
11727006,7.7,6.4,1
11727006,3,6,2
11727006,6.4,7.7,3
11727007,6.2,7.7,1
11727007,6.3,7.7,2
11703205,6,3,1
11703205,6,4,2
11703206,1,6,1
11703206,4,6,2
11703207,4,6,1
11703207,2,6,2
11703208,6.5,7.7,1
11703208,5,7,2
11703209,6,2,1
11703209,3,6,2
11703209,7.7,6.2,3
11703210,6,2,1
11703210,7.7,6.4,2
11703211,7,5,1
11703211,6,2,2
11703212,6,3,1
11703212,3,6,2
11703212,6,2,3
11703876,6,4,1
11703876,6.1,7.7,2
11703876,1,6,3
11703877,3,6,1
11703877,6,3,2
11703877,6,4,3
11703878,6,4,1
11703878,3,6,2
11703878,6.3,7.7,3
11703879,4,6,1
11703879,3,6,2
11832674,7.7,6.5,1
11832674,6,2,2
11703150,4,6,1
11703150,4,6,2
11727008,3,6,1
11727008,4,6,2
11703213,6,4,1
11703213,6,4,2
11703214,6.4,7.7,1
11703214,6,4,2
11703214,4,6,3
11703215,7,5,1
11703215,3,6,2
11703215,6,4,3
11703216,6.6,7.8,1
11703216,6,3,2
11703216,3,6,3
11703899,6,3,1
11703899,6,3,2
11703900,6,3,1
11703900,6,2,2
11703901,6,1,1
11703902,4,6,1
11703902,7,5,2
11703902,4,6,3
11703903,6,4,1
11703903,6,2,2
11703235,6,3,1
11703235,6,4,2
11703236,3,6,1
11703236,4,6,2
11703237,7,5,1
11703237,4,6,2
11703237,6,3,3
11703238,6,3,1
11703238,6,3,2
11703239,5,7,1
11703239,3,6,2
11703240,4,6,1
11703240,6,4,2
11703240,7.7,6.4,3
11704490,6,4,1
11704490,7.7,6.3,2
11704491,2,6,1
11704491,4,6,2
11704492,3,6,1
11704492,4,6,2
11704493,7,5,1
11704493,6,2,2
11704494,6,3,1
11704494,6,4,2
11704495,1,6,1
11704495,1,6,2
11704496,4,6,1
11704496,4,6,2
11704497,3,6,1
11704497,1,6,2
11704498,3,6,1
11704498,3,6,2
11704499,6,2,1
11704499,6,3,2
11704500,4,6,1
11704500,4,6,2
11704501,1,6,1
11704501,7.7,6.2,2
11704501,4,6,3
11704502,6,4,1
11704502,5,7,2
11704502,3,6,3
11704503,4,6,1
11704503,6,4,2
11704503,4,6,3
11704518,6,4,1
11704518,6,2,2
11704519,6,3,1
11704519,6,4,2
11704520,3,6,1
11704520,5,7,2
11704521,4,6,1
11704521,6,2,2
11704521,5,7,3
11704522,7.8,6.6,1
11704522,4,6,2
11704522,6.6,7.8,3
11704523,6,4,1
11704523,6,4,2
11704524,7,5,2
11704525,5,7,1
11704525,7,5,2
11704525,4,6,3
11704526,5,7,1
11704526,1,6,2
11704527,7.7,6.2,1
11704527,2,6,2
11704527,6,4,3
11704528,3,6,1
11704528,7.7,6.4,2
11704528,6,1,3
11704542,6,4,1
11704542,6,2,2
11704543,6,2,1
11704543,3,6,2
11704543,7.7,6.4,3
11704544,3,6,1
11704544,6,3,2
11704544,7,5,3
11742310,3.5,4.7,1
11742310,1,4,2
11742310,3.4,4.7,3
11742311,4.7,3.4,1
11742311,4,2,2
11742311,4,1,3
11742312,2,4,1
11742312,1,4,2
11742312,2,4,3
11742313,1,4,1
11742313,3.3,4.7,3
11742316,4.7,3.5,1
11742316,4.8,3.6,2
11742316,4,2,3
11742317,7.7,6.4,1
11742317,6,4,2
11742318,6.3,7.7,1
11742318,1,6,2
11742325,7,5,1
11742325,7,5,2
11742326,6.4,7.7,1
11742326,7.7,6.5,2
11742326,2,6,3
11742327,3,6,1
11742327,7.7,6.5,2
11742327,6.2,7.7,3
11742328,6,3,1
11742328,3,6,2
11742328,2,6,3
2732379,6,4,1
2732379,7.7,6.4,2
2732380,5,7,1
2732380,6,3,2
2732380,7.7,6.5,3
2732389,6,2,1
2732389,6,4,2
2732390,6,3,1
2732390,6,4,2
11838978,6,3,1
11838978,6,4,2
11838979,6,3,1
11838979,6,4,2
11838980,4,6,1
11838980,6,2,2
11838980,7.7,6.4,3
11838981,3,6,1
11838981,3,6,2
11838982,4,6,1
11838982,6,3,2
11838982,6,3,3
11838983,6,4,1
11838983,6,2,2
11838996,3,6,1
11838996,2,6,2
11838997,7.7,6.1,1
11838997,6,2,2
11838998,2,6,1
11838999,7.10,6.8,1
11838999,4,6,2
11838999,6,3,3
11839000,3,6,1
11839000,6,1,2
11839000,3,6,3
11839001,7.7,6.5,1
11839001,6,4,2
11742496,6,2,1
11742496,6,3,2
11742497,3,6,1
11742497,5,7,2
11742498,4,6,1
11742498,4,6,2
11742499,6,1,1
11742499,6,4,2
11756517,4,6,1
11756517,6,3,2
11756517,5,7,3
11756518,6.5,7.7,1
11756518,6,2,2
11756518,6,3,3
11756519,7.7,6.4,1
11756519,4,6,2
11756519,7.7,6.2,3
11756520,7.7,6.5,1
11756520,6.6,7.8,2
11756520,7,5,3
11756521,7,5,1
11756521,6,4,2
11756522,6,3,1
11839002,6,1,1
11839002,6,4,2
11839003,7.9,6.7,1
11839003,6,3,2
11839004,6,3,1
11839004,6,2,2
11839005,6,3,1
11839005,1,6,2
11839005,5,7,3
11839006,3,6,1
11839006,2,6,2
11839007,6.1,7.7,1
11839007,6.2,7.7,2
11742501,6,1,1
11742501,7,5,2
11742502,2,6,1
11742502,4,6,2
11742503,6,4,1
11742503,7,5,2
11742504,2,6,1
11742504,4,6,2
11742505,6,2,1
11742505,6,2,2
11742506,6,4,1
11742506,4,6,2
11742506,6,4,3
11756523,6,4,1
11756523,6,4,2
11756524,6,2,1
11756524,4,6,2
11756524,4,6,3
11756525,6,4,1
11756525,7.7,6.5,2
11756526,3,6,1
11756526,4,6,2
11756527,4,6,1
11756527,2,6,2
11756528,2,6,1
11756528,1,6,2
11756529,7.7,6.4,1
11756529,7.9,6.7,2
11839008,6,4,1
11839008,6,4,2
11839009,7,5,1
11839009,6,4,2
11839010,5,7,1
11839010,6,1,2
11839010,6,3,3
11839011,7.7,6.5,1
11839011,6,4,2
11839012,3,6,1
11839012,6,4,2
11839012,3,6,3
11839013,6.5,7.7,1
11839013,6,3,2
11839013,6.5,7.7,3
11742507,2,6,1
11742507,6,3,2
11742507,3,6,3
11742508,3,6,1
11742508,7,5,2
11742508,6,3,3
11742509,4,6,1
11742509,4,6,2
11742510,1,6,1
11742510,3,6,2
11742511,6,4,1
11742511,7,5,2
11756530,7.8,6.6,1
11756530,2,1,2
11756531,2,6,1
11756531,4,6,2
11756532,6,3,1
11756532,6,2,2
11756533,6,3,1
11756533,6,2,2
11756534,6,2,1
11756534,4,6,2
11756534,3,6,3
11756535,4,6,1
11756535,6,3,2
11756535,6,4,3
11756536,6.3,7.7,1
11756536,3,6,2
11839014,1,6,1
11839014,1,6,2
11839015,4,6,1
11839015,7,5,2
11839015,4,6,3
11839016,6.4,7.7,2
11839016,7,5,3
11839017,4,6,1
11839017,6,3,2
11839017,3,6,3
11839018,3,6,1
11839018,7,5,2
11839018,6,3,3
11839019,4,6,1
11839019,2,6,2
11742512,6.5,7.7,1
11742512,2,6,2
11742513,6.7,7.9,1
11742513,6.8,7.10,2
11742514,6,3,1
11742514,1,6,2
11742514,3,6,3
11742515,4,6,1
11742515,4,6,2
11742516,5,7,1
11742516,4,6,2
11742517,6,1,1
11742517,7.7,6.4,2
11742518,2,6,1
11742518,6,3,2
11742518,6,4,3
11742519,6,3,1
11742519,3,6,2
11742519,6,1,3
11756537,4,6,1
11756537,2,6,2
11756538,6,4,1
11756538,6,3,2
11756539,6,3,2
11756540,6,4,1
11756540,4,6,2
11756540,3,6,3
11756544,7.7,6.2,1
11756544,6,4,2
11742520,1,6,1
11742520,2,6,2
11742522,4,6,1
11742522,2,6,2
11742523,6.5,7.7,1
11742523,4,6,2
11756541,4,6,1
11756541,3,6,2
11756542,7.7,6.3,1
11756542,7.7,6.5,2
11756543,6,4,1
11756543,6,4,2
11756545,7.7,6.4,1
11756545,6.8,7.10,2
11756545,6,2,3
11756546,5,7,1
11756546,1,6,2
11756547,6,3,1
11756547,6,3,2
11756548,6,3,1
11756548,6,4,2
11839020,3,6,1
11839020,3,6,2
11839021,1,6,1
11839021,1,6,2
11742524,7.7,6.4,1
11742524,6,1,2
11742525,7.7,6.5,1
11742525,6.5,7.7,2
11742525,6,1,3
11687931,5,7,1
11687931,6,2,3
11687932,6.1,7.7,1
11687932,4,6,2
11687936,7,5,1
11687936,6,3,3
11687937,3,6,1
11687937,7,5,2
11687937,7.8,6.6,3
11687938,3,6,1
11687938,6,4,2
11687938,6,2,3
11756549,7.7,6.5,1
11756550,6,3,1
11756550,6,4,2
11839022,6.5,7.7,1
11839022,6.5,7.7,2
11839023,4,6,1
11839023,7.7,6.2,2
11839023,6,4,3
11742526,4,6,1
11742526,7,5,2
11742526,6,3,3
11687933,3,6,1
11687933,3,6,2
11687934,6,2,1
11687934,3,6,2
11687934,4,6,3
11687935,1,6,1
11687935,4,6,2
11687939,6,2,1
11687939,3,6,2
11687939,6,1,3
11687940,6.3,7.7,1
11687940,7,5,2
11687940,6,4,3
11687941,3,6,1
11687941,5,7,2
11756551,6.8,7.10,1
11756551,7.7,6.3,2
11756551,6,4,3
11839024,6,2,1
