event_key,event_date,event_time,event_first_player,first_player_key,event_first_player_logo,event_second_player,second_player_key,event_second_player_logo,event_final_result,event_game_result,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live
11904091,2023-10-12,09:10,M. Trevisan,512,https://api.api-tennis.com/logo-tennis/512_m-trevisan.jpg,M. Frech,2089,https://api.api-tennis.com/logo-tennis/2089_m-frech.jpg,2 - 1,-,First Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - 1/8-finals,2023,0
11904092,2023-10-12,09:10,Xin. Wang,1812,https://api.api-tennis.com/logo-tennis/1812_xin-wang.jpg,S. Sorribes Tormo,2910,https://api.api-tennis.com/logo-tennis/2910_s-sorribes-tormo.jpg,1 - 2,-,Second Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - 1/8-finals,2023,0
11904155,2023-10-12,12:10,S. Lansere,69,https://api.api-tennis.com/logo-tennis/69_s-lansere.jpg,E. Mertens,521,https://api.api-tennis.com/logo-tennis/521_e-mertens.jpg,0 - 2,-,Second Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - 1/8-finals,2023,0
11904156,2023-10-12,11:40,A. Pavlyuchenkova,2694,https://api.api-tennis.com/logo-tennis/2694_a-pavlyuchenkova.jpg,B. Haddad Maia,1951,https://api.api-tennis.com/logo-tennis/1951_b-haddad-maia.jpg,2 - 1,-,First Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - 1/8-finals,2023,0
11904157,2023-10-12,14:25,A. Korneeva,14547,,L. Fruhvirtova,446,https://api.api-tennis.com/logo-tennis/446_l-fruhvirtova.jpg,0 - 2,-,Second Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - 1/8-finals,2023,0
11903920,2023-10-12,14:00,Z. Bai,9107,,D. Kasatkina,1990,https://api.api-tennis.com/logo-tennis/1990_d-kasatkina.jpg,0 - 2,-,Second Player,Finished,Wta Singles,WTA Zhengzhou,3163,WTA Zhengzhou - 1/8-finals,2023,0
11903706,2023-10-12,08:25,J. Pegula,2171,https://api.api-tennis.com/logo-tennis/2171_j-pegula.jpg,A. Krueger,196,,2 - 0,-,First Player,Finished,Wta Singles,WTA Seoul,1222,WTA Seoul - 1/8-finals,2023,0
11903708,2023-10-12,05:10,S. J. Jang,1803,https://api.api-tennis.com/logo-tennis/1803_s-j-jang.jpg,E. Bektas,1796,,0 - 2,-,Second Player,Finished,Wta Singles,WTA Seoul,1222,WTA Seoul - 1/8-finals,2023,0
11903711,2023-10-12,07:00,K. Birrell,92,,D. Back,20923,,2 - 0,-,First Player,Finished,Wta Singles,WTA Seoul,1222,WTA Seoul - 1/8-finals,2023,0
11903714,2023-10-12,15:50,B. Krejcikova,2801,https://api.api-tennis.com/logo-tennis/2801_b-krejcikova.jpg,P. Martic,2173,https://api.api-tennis.com/logo-tennis/2173_p-martic.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Zhengzhou,3163,WTA Zhengzhou - 1/8-finals,2023,0
