point_id,number_point,score,break_point,set_point,match_point
11396,1,0 - 15,,,
11397,2,15 - 15,,,
11398,3,15 - 30,,,
11399,4,15 - 40,First Play,,
11400,1,0 - 15,,,
11401,2,15 - 15,,,
11402,3,15 - 30,,,
11403,4,15 - 40,,,
11404,5,30 - 40,,,
11405,1,15 - 0,,,
11406,2,30 - 0,,,
11407,3,30 - 15,,,
11408,4,30 - 30,,,
11409,5,40 - 30,,,
11410,6,40 - 40,,,
11411,7,40 - A,First Play,,
11412,1,15 - 0,,,
11413,2,15 - 15,,,
11414,3,15 - 30,,,
11415,4,15 - 40,,,
11416,1,15 - 0,,,
11417,2,30 - 0,,,
11418,3,40 - 0,,,
11419,1,15 - 0,,,
11420,2,15 - 15,,,
11421,3,15 - 30,,,
11422,4,30 - 30,,,
11423,5,40 - 30,First Play,,
11424,1,15 - 0,,,
11425,2,30 - 0,,,
11426,3,40 - 0,,,
11427,1,0 - 15,,,
11428,2,0 - 30,,,
11429,3,0 - 40,,,
11430,4,15 - 40,,,
11431,5,30 - 40,,,
11432,1,15 - 0,,,
11433,2,30 - 0,,,
11434,3,40 - 0,,,
11435,4,40 - 15,,,
11436,1,0 - 15,,,
11437,2,15 - 15,,,
11438,3,15 - 30,,,
11439,4,15 - 40,,,
11440,1,0 - 15,,,
11441,2,15 - 15,,,
11442,3,15 - 30,,,
11443,4,15 - 40,First Play,,
11444,5,30 - 40,First Play,,
11445,6,40 - 40,,,
11446,7,A - 40,,,
11447,8,40 - 40,,,
11448,9,A - 40,,,
11449,1,0 - 15,,,
11450,2,0 - 30,,,
11451,3,0 - 40,,,
11452,4,15 - 40,,,
11453,1,15 - 0,,,
11454,2,15 - 15,,,
11455,3,15 - 30,,,
11456,4,30 - 30,,,
11457,5,40 - 30,,,
11458,1,0 - 15,,,
11459,2,15 - 15,,,
11460,3,15 - 30,,,
11461,4,30 - 30,,,
11462,5,30 - 40,,,
11463,1,15 - 0,,,
11464,2,15 - 15,,,
11465,3,30 - 15,,,
11466,4,40 - 15,,,
11467,1,0 - 15,,,
11468,2,15 - 15,,,
11469,3,15 - 30,,,
11470,4,15 - 40,,,
11471,5,30 - 40,,,
11472,6,40 - 40,,,
11473,7,A - 40,First Play,,
11474,1,15 - 0,,,
11475,2,15 - 15,,,
11476,3,30 - 15,,,
11477,4,40 - 15,,,
11478,5,40 - 30,,,
11479,6,40 - 40,,,
11480,7,A - 40,,,
11481,8,40 - 40,,,
11482,9,40 - A,First Play,,
11483,1,15 - 0,,,
11484,2,30 - 0,,,
11485,3,40 - 0,First Play,,
11486,1,15 - 0,,,
11487,2,15 - 15,,,
11488,3,30 - 15,,,
11489,4,40 - 15,,,
11490,1,0 - 15,,,
11491,2,15 - 15,,,
11492,3,15 - 30,,,
11493,4,15 - 40,,,
11494,1,15 - 0,,,
11495,2,15 - 15,,,
11496,3,30 - 15,,,
11497,4,40 - 15,,,
11498,1,0 - 15,,,
11499,2,15 - 15,,,
11500,3,30 - 15,,,
11501,4,30 - 30,,,
11502,5,40 - 30,First Play,First Play,First Play
11503,6,40 - 40,,,
11504,7,A - 40,First Play,First Play,First Play
11505,8,40 - 40,,,
11506,9,40 - A,,,
11507,1,15 - 0,,,
11508,2,30 - 0,,,
11509,3,40 - 0,,First Play,First Play
11510,4,40 - 15,,First Play,First Play
11511,5,40 - 30,,First Play,First Play
11512,6,40 - 40,,,
11513,7,40 - A,First Play,,
11514,1,0 - 15,,,
11515,2,15 - 15,,,
11516,3,15 - 30,,,
11517,4,15 - 40,,,
11518,1,15 - 0,,,
11519,2,30 - 0,,,
11520,3,40 - 0,,,
11521,4,40 - 15,,,
11522,1, - ,,,
11523,1,0 - 15,,,
11524,2,15 - 15,,,
11525,3,15 - 30,,,
11526,4,15 - 40,,,
11527,1,0 - 15,,,
11528,2,0 - 30,,,
11529,3,15 - 30,,,
11530,4,30 - 30,,,
11531,5,30 - 40,First Play,,
11532,1,15 - 0,,,
11533,2,30 - 0,,,
11534,3,30 - 15,,,
11535,4,40 - 15,First Play,,
11536,1,15 - 0,,,
11537,2,30 - 0,,,
11538,3,40 - 0,,,
11539,4,40 - 15,,,
11540,1,0 - 15,,,
11541,2,15 - 15,,,
11542,3,30 - 15,,,
11543,4,40 - 15,First Play,,
11544,5,40 - 30,First Play,,
11545,6,40 - 40,,,
11546,7,A - 40,First Play,,
11547,1,15 - 0,,,
11548,2,30 - 0,,,
11549,3,40 - 0,,,
11550,1,15 - 0,,,
11551,2,15 - 15,,,
11552,3,15 - 30,,,
11553,4,15 - 40,,,
11554,5,30 - 40,,,
11555,6,40 - 40,,,
11556,7,40 - A,,,
11557,8,40 - 40,,,
11558,9,40 - A,,,
11559,1,15 - 0,,,
11560,2,30 - 0,,,
11561,3,40 - 0,,,
11562,1,0 - 15,,,
11563,2,0 - 30,,,
11564,3,15 - 30,,,
11565,4,15 - 40,,,
11566,1,0 - 15,,,
11567,2,0 - 30,,,
11568,3,15 - 30,,,
11569,4,15 - 40,First Play,,
11570,1,0 - 15,,,
11571,2,15 - 15,,,
11572,3,15 - 30,,,
11573,4,15 - 40,,,
11574,5,30 - 40,,,
11575,6,40 - 40,,,
11576,7,40 - A,,,
11577,1,0 - 15,,,
11578,2,15 - 15,,,
11579,3,30 - 15,,,
11580,4,40 - 15,,,
11581,5,40 - 30,,,
11582,6,40 - 40,,,
11583,7,A - 40,,,
11584,1, - ,,,
11585,1,15 - 0,,,
11586,2,30 - 0,,,
11587,3,30 - 15,,,
11588,4,40 - 15,,,
11589,5,40 - 30,,,
11590,6,40 - 40,,,
11591,7,40 - A,First Play,,
11592,1,15 - 0,,,
11593,2,15 - 15,,,
11594,3,30 - 15,,,
11595,4,30 - 30,,,
11596,5,40 - 30,First Play,,
11597,1,0 - 15,,,
11598,2,0 - 30,,,
11599,3,0 - 40,First Play,,
11600,4,15 - 40,First Play,,
11601,5,30 - 40,First Play,,
11602,6,40 - 40,,,
11603,7,40 - A,First Play,,
11604,1,0 - 15,,,
11605,2,0 - 30,,,
11606,3,0 - 40,,,
11607,1,0 - 15,,,
11608,2,0 - 30,,,
11609,3,15 - 30,,,
11610,4,30 - 30,,,
11611,5,40 - 30,,,
11612,1,0 - 15,,,
11613,2,0 - 30,,,
11614,3,0 - 40,,,
11615,4,15 - 40,,,
11616,5,30 - 40,,,
11617,6,40 - 40,,,
11618,7,A - 40,First Play,,
11619,8,40 - 40,,,
11620,9,40 - A,,,
11621,1,0 - 15,,,
11622,2,15 - 15,,,
11623,3,30 - 15,,,
11624,4,30 - 30,,,
11625,5,30 - 40,First Play,,
11626,1,15 - 0,,,
11627,2,15 - 15,,,
11628,3,15 - 30,,,
11629,4,15 - 40,,First Play,First Play
11630,1,15 - 0,,,
11631,2,30 - 0,,,
11632,3,30 - 15,,,
11633,4,40 - 15,,,
11634,5,40 - 30,,,
11635,1,0 - 15,,,
11636,2,15 - 15,,,
11637,3,15 - 30,,,
11638,4,15 - 40,,,
11639,5,30 - 40,,,
11640,1,0 - 15,,,
11641,2,0 - 30,,,
11642,3,15 - 30,,,
11643,4,30 - 30,,,
11644,5,40 - 30,,,
11645,1,0 - 15,,,
11646,2,15 - 15,,,
11647,3,30 - 15,,,
11648,4,40 - 15,First Play,,
11649,5,40 - 30,First Play,,
11650,1,15 - 0,,,
11651,2,30 - 0,,,
11652,3,30 - 15,,,
11653,4,40 - 15,,,
11654,1,0 - 15,,,
11655,2,15 - 15,,,
11656,3,30 - 15,,,
11657,4,30 - 30,,,
11658,5,40 - 30,First Play,,
11659,6,40 - 40,,,
11660,7,A - 40,First Play,,
11661,8,40 - 40,,,
11662,9,40 - A,,,
11663,1,0 - 15,,,
11664,2,15 - 15,,,
11665,3,30 - 15,,,
11666,4,30 - 30,,,
11667,5,30 - 40,First Play,,
11668,1,15 - 0,,,
11669,2,30 - 0,,,
11670,3,30 - 15,,,
11671,4,30 - 30,,,
11672,5,40 - 30,First Play,,
11673,6,40 - 40,,,
11674,7,40 - A,,,
11675,1,15 - 0,,,
11676,2,30 - 0,,,
11677,3,40 - 0,,,
11678,1,15 - 0,,,
11679,2,30 - 0,,,
11680,3,40 - 0,First Play,,
11681,4,40 - 15,First Play,,
11682,1,15 - 0,,,
11683,2,15 - 15,,,
11684,3,30 - 15,,,
11685,4,30 - 30,,,
11686,5,30 - 40,First Play,,
11687,6,40 - 40,,,
11688,7,40 - A,First Play,,
11689,1,0 - 15,,,
11690,2,0 - 30,,,
11691,3,0 - 40,,,
11692,1,15 - 0,,,
11693,2,15 - 15,,,
11694,3,15 - 30,,,
11695,4,15 - 40,First Play,,
11696,1,15 - 0,,,
11697,2,30 - 0,,,
11698,3,30 - 15,,,
11699,4,30 - 30,,,
11700,5,30 - 40,,,
11701,1,15 - 0,,,
11702,2,30 - 0,,,
11703,3,40 - 0,,,
11704,1,0 - 15,,,
11705,2,15 - 15,,,
11706,3,15 - 30,,,
11707,4,15 - 40,,,
11708,1,15 - 0,,,
11709,2,30 - 0,,,
11710,3,40 - 0,,,
11711,1,0 - 15,,,
11712,2,15 - 15,,,
11713,3,15 - 30,,,
11714,4,30 - 30,,,
11715,5,40 - 30,First Play,,
11716,6,40 - 40,,,
11717,7,40 - A,,,
11718,8,40 - 40,,,
11719,9,A - 40,First Play,,
11720,10,40 - 40,,,
11721,11,A - 40,First Play,,
11722,12,40 - 40,,,
11723,13,40 - A,,,
11724,1,15 - 0,,,
11725,2,30 - 0,,,
11726,3,40 - 0,,,
11727,1,0 - 15,,,
11728,2,15 - 15,,,
11729,3,15 - 30,,,
11730,4,15 - 40,,,
11731,1,0 - 15,,,
11732,2,15 - 15,,,
11733,3,30 - 15,,,
11734,4,30 - 30,,,
11735,5,40 - 30,,,
11736,6,40 - 40,,,
11737,7,A - 40,,,
11738,8,40 - 40,,,
11739,9,40 - A,First Play,,
11740,10,40 - 40,,,
11741,11,40 - A,First Play,,
11742,1,0 - 15,,,
11743,2,0 - 30,,,
11744,3,0 - 40,,,
11745,1,15 - 0,,,
11746,2,30 - 0,,,
11747,3,30 - 15,,,
11748,4,40 - 15,,,
11749,5,40 - 30,,,
11750,1,15 - 0,,,
11751,2,15 - 15,,,
11752,3,30 - 15,,,
11753,4,30 - 30,,,
11754,5,30 - 40,,,
11755,1,15 - 0,,,
11756,2,15 - 15,,,
11757,3,15 - 30,,,
11758,4,30 - 30,,,
11759,5,40 - 30,,,
11760,1,0 - 15,,,
11761,2,0 - 30,,,
11762,3,0 - 40,,,
11763,1,0 - 15,,,
11764,2,15 - 15,,,
11765,3,30 - 15,,,
11766,4,40 - 15,,,
11767,5,40 - 30,,,
11768,1,0 - 15,,,
11769,2,0 - 30,,,
11770,3,0 - 40,,First Play,First Play
11771,1,15 - 0,,,
11772,2,30 - 0,,,
11773,3,40 - 0,First Play,,
11774,4,40 - 15,First Play,,
11775,1,15 - 0,,,
11776,2,30 - 0,,,
11777,3,40 - 0,,,
11778,4,40 - 15,,,
11779,1,15 - 0,,,
11780,2,15 - 15,,,
11781,3,15 - 30,,,
11782,4,30 - 30,,,
11783,5,30 - 40,,,
11784,1,0 - 15,,,
11785,2,0 - 30,,,
11786,3,15 - 30,,,
11787,4,15 - 40,First Play,,
11788,1,0 - 15,,,
11789,2,0 - 30,,,
11790,3,0 - 40,,,
11791,1,0 - 15,,,
11792,2,0 - 30,,,
11793,3,0 - 40,First Play,,
11794,4,15 - 40,First Play,,
11795,5,30 - 40,First Play,,
11796,1,15 - 0,,,
11797,2,30 - 0,,,
11798,3,30 - 15,,,
11799,4,30 - 30,,,
11800,5,40 - 30,First Play,,
11801,6,40 - 40,,,
11802,7,40 - A,,,
11803,1,0 - 15,,,
11804,2,15 - 15,,,
11805,3,15 - 30,,,
11806,4,15 - 40,First Play,,
11807,5,30 - 40,First Play,,
11808,6,40 - 40,,,
11809,7,40 - A,First Play,,
11810,8,40 - 40,,,
11811,9,A - 40,,,
11812,1,15 - 0,,,
11813,2,15 - 15,,,
11814,3,30 - 15,,,
11815,4,40 - 15,First Play,,
11816,5,40 - 30,First Play,,
11817,6,40 - 40,,,
11818,7,40 - A,,,
11819,1,15 - 0,,,
11820,2,15 - 15,,,
11821,3,15 - 30,,,
11822,4,15 - 40,First Play,,
11823,1,0 - 15,,,
11824,2,0 - 30,,,
11825,3,0 - 40,,,
11826,1,0 - 15,,,
11827,2,0 - 30,,,
11828,3,15 - 30,,,
11829,4,30 - 30,,,
11830,5,30 - 40,First Play,,
11831,6,40 - 40,,,
11832,7,A - 40,,,
11833,8,40 - 40,,,
11834,9,40 - A,First Play,,
11835,10,40 - 40,,,
11836,11,40 - A,First Play,,
11837,1,0 - 15,,,
11838,2,15 - 15,,,
11839,3,15 - 30,,,
11840,4,15 - 40,,,
11841,1,0 - 15,,,
11842,2,0 - 30,,,
11843,3,0 - 40,First Play,,
11844,4,15 - 40,First Play,,
11845,5,30 - 40,First Play,,
11846,6,40 - 40,,,
11847,7,A - 40,,,
11848,8,40 - 40,,,
11849,9,A - 40,,,
11850,10,40 - 40,,,
11851,11,40 - A,First Play,,
11852,12,40 - 40,,,
11853,13,A - 40,,,
11854,14,40 - 40,,,
11855,15,A - 40,,,
11856,1,0 - 15,,,
11857,2,15 - 15,,,
11858,3,30 - 15,,,
11859,4,30 - 30,,,
11860,5,40 - 30,First Play,,
11861,6,40 - 40,,,
11862,7,A - 40,First Play,,
11863,1,15 - 0,,,
11864,2,30 - 0,,,
11865,3,40 - 0,,,
11866,1,0 - 15,,,
11867,2,15 - 15,,,
11868,3,15 - 30,,,
11869,4,15 - 40,,,
11870,1,15 - 0,,,
11871,2,15 - 15,,,
11872,3,15 - 30,,,
11873,4,30 - 30,,,
11874,5,40 - 30,,,
11875,1,15 - 0,,,
11876,2,30 - 0,,,
11877,3,40 - 0,First Play,,
11878,4,40 - 15,First Play,,
11879,5,40 - 30,First Play,,
11880,6,40 - 40,,,
11881,7,40 - A,,First Play,First Play
11882,1,15 - 0,,,
11883,2,30 - 0,,,
11884,3,40 - 0,First Play,,
11885,1,15 - 0,,,
11886,2,15 - 15,,,
11887,3,30 - 15,,,
11888,4,40 - 15,,,
11889,1,0 - 15,,,
11890,2,15 - 15,,,
11891,3,30 - 15,,,
11892,4,40 - 15,First Play,,
11893,5,40 - 30,First Play,,
11894,6,40 - 40,,,
11895,7,A - 40,First Play,,
11896,8,40 - 40,,,
11897,9,A - 40,First Play,,
11898,1,0 - 15,,,
11899,2,15 - 15,,,
11900,3,15 - 30,,,
11901,4,15 - 40,First Play,,
11902,5,30 - 40,First Play,,
11903,6,40 - 40,,,
11904,7,A - 40,,,
11905,1,15 - 0,,,
11906,2,15 - 15,,,
11907,3,30 - 15,,,
11908,4,40 - 15,First Play,,
11909,5,40 - 30,First Play,,
11910,6,40 - 40,,,
11911,7,40 - A,,,
11912,8,40 - 40,,,
11913,9,40 - A,,,
11914,10,40 - 40,,,
11915,11,A - 40,First Play,,
11916,1,15 - 0,,,
11917,2,30 - 0,,,
11918,3,40 - 0,,,
11919,4,40 - 15,,,
11920,1,0 - 15,,,
11921,2,0 - 30,,,
11922,3,0 - 40,,,
11923,1,15 - 0,,,
11924,2,15 - 15,,,
11925,3,30 - 15,,,
11926,4,40 - 15,,,
11927,5,40 - 30,,,
11928,1,0 - 15,,,
11929,2,15 - 15,,,
11930,3,15 - 30,,,
11931,4,30 - 30,,,
11932,5,40 - 30,First Play,,
11933,1,0 - 15,,,
11934,2,15 - 15,,,
11935,3,30 - 15,,,
11936,4,30 - 30,,,
11937,5,40 - 30,,,
11938,1,15 - 0,,,
11939,2,30 - 0,,,
11940,3,40 - 0,First Play,,
11941,4,40 - 15,First Play,,
11942,1,0 - 15,,,
11943,2,15 - 15,,,
11944,3,30 - 15,,,
11945,4,40 - 15,,,
11946,5,40 - 30,,,
11947,6,40 - 40,,,
11948,7,A - 40,,,
11949,1,15 - 0,,,
11950,2,30 - 0,,,
11951,3,40 - 0,First Play,First Play,First Play
11952,4,40 - 15,First Play,First Play,First Play
11953,5,40 - 30,First Play,First Play,First Play
11954,1,15 - 0,,,
11955,2,30 - 0,,,
11956,3,30 - 15,,,
11957,4,30 - 30,,,
11958,5,30 - 40,First Play,,
11959,6,40 - 40,,,
11960,7,40 - A,First Play,,
11961,1,0 - 15,,,
11962,2,0 - 30,,,
11963,3,0 - 40,,,
11964,4,15 - 40,,,
11965,5,30 - 40,,,
11966,1,15 - 0,,,
11967,2,15 - 15,,,
11968,3,30 - 15,,,
11969,4,40 - 15,,,
11970,5,40 - 30,,,
11971,6,40 - 40,,,
11972,7,A - 40,,,
11973,8,40 - 40,,,
11974,9,A - 40,,,
11975,1,0 - 15,,,
11976,2,15 - 15,,,
11977,3,30 - 15,,,
11978,4,40 - 15,First Play,,
11979,5,40 - 30,First Play,,
11980,1,0 - 15,,,
11981,2,0 - 30,,,
11982,3,15 - 30,,,
11983,4,30 - 30,,,
11984,5,40 - 30,,,
11985,6,40 - 40,,,
11986,7,A - 40,,,
11987,1,0 - 15,,,
11988,2,0 - 30,,,
11989,3,0 - 40,,,
11990,4,15 - 40,,,
11991,1,15 - 0,,,
11992,2,15 - 15,,,
11993,3,15 - 30,,,
11994,4,30 - 30,,,
11995,5,40 - 30,,,
11996,1,15 - 0,,,
11997,2,30 - 0,,,
11998,3,40 - 0,First Play,,
11999,1,15 - 0,,,
12000,2,30 - 0,,,
12001,3,30 - 15,,,
12002,4,40 - 15,,,
12003,1,0 - 15,,,
12004,2,0 - 30,,,
12005,3,0 - 40,,,
12006,4,15 - 40,,,
12007,1,15 - 0,,,
12008,2,15 - 15,,,
12009,3,30 - 15,,,
12010,4,40 - 15,,,
12011,1,15 - 0,,,
12012,2,15 - 15,,,
12013,3,15 - 30,,,
12014,4,30 - 30,,,
12015,5,30 - 40,,,
12016,6,40 - 40,,,
12017,7,40 - A,,,
12018,1,0 - 15,,,
12019,2,15 - 15,,,
12020,3,30 - 15,,,
12021,4,30 - 30,,,
12022,5,30 - 40,First Play,,
12023,1,0 - 15,,,
12024,2,0 - 30,,,
12025,3,0 - 40,,,
12026,1,0 - 15,,,
12027,2,0 - 30,,,
12028,3,0 - 40,First Play,,
12029,1,15 - 0,,,
12030,2,15 - 15,,,
12031,3,30 - 15,,,
12032,4,40 - 15,First Play,,
12033,1,15 - 0,,,
12034,2,15 - 15,,,
12035,3,30 - 15,,,
12036,4,30 - 30,,,
12037,5,40 - 30,,,
12038,1,0 - 15,,,
12039,2,0 - 30,,,
12040,3,0 - 40,,,
12041,4,15 - 40,,,
12042,1,0 - 15,,,
12043,2,15 - 15,,,
12044,3,30 - 15,,,
12045,4,40 - 15,,,
12046,5,40 - 30,,,
12047,1,15 - 0,,,
12048,2,15 - 15,,,
12049,3,30 - 15,,,
12050,4,40 - 15,First Play,,
12051,5,40 - 30,First Play,,
12052,6,40 - 40,,,
12053,7,A - 40,First Play,,
12054,8,40 - 40,,,
12055,9,40 - A,,,
12056,10,40 - 40,,,
12057,11,A - 40,First Play,,
12058,1,15 - 0,,,
12059,2,30 - 0,,,
12060,3,30 - 15,,,
12061,4,40 - 15,,,
12062,1,15 - 0,,,
12063,2,30 - 0,,,
12064,3,30 - 15,,,
12065,4,40 - 15,First Play,,
12066,1,15 - 0,,,
12067,2,30 - 0,,,
12068,3,40 - 0,,,
12069,1,0 - 15,,,
12070,2,15 - 15,,,
12071,3,30 - 15,,,
12072,4,40 - 15,First Play,First Play,First Play
12073,1,15 - 0,,,
12074,2,15 - 15,,,
12075,3,30 - 15,,,
12076,4,30 - 30,,,
12077,5,40 - 30,,,
12078,6,40 - 40,,,
12079,7,40 - A,First Play,,
12080,1,0 - 15,,,
12081,2,15 - 15,,,
12082,3,15 - 30,,,
12083,4,30 - 30,,,
12084,5,40 - 30,First Play,,
12085,1,0 - 15,,,
12086,2,15 - 15,,,
12087,3,30 - 15,,,
12088,4,40 - 15,,,
12089,5,40 - 30,,,
12090,1,15 - 0,,,
12091,2,15 - 15,,,
12092,3,15 - 30,,,
12093,4,30 - 30,,,
12094,5,30 - 40,,,
12095,6,40 - 40,,,
12096,7,40 - A,,,
12097,1,0 - 15,,,
12098,2,15 - 15,,,
12099,3,30 - 15,,,
12100,4,40 - 15,,,
12101,1,0 - 15,,,
12102,2,0 - 30,,,
12103,3,0 - 40,,,
12104,1,0 - 15,,,
12105,2,15 - 15,,,
12106,3,30 - 15,,,
12107,4,40 - 15,,,
12108,5,40 - 30,,,
12109,1,0 - 15,,,
12110,2,0 - 30,,,
12111,3,0 - 40,,,
12112,4,15 - 40,,,
12113,1,0 - 15,,,
12114,2,0 - 30,,,
12115,3,15 - 30,,,
12116,4,30 - 30,,,
12117,5,30 - 40,First Play,,
12118,6,40 - 40,,,
12119,7,A - 40,,,
12120,1,0 - 15,,,
12121,2,15 - 15,,,
12122,3,15 - 30,,,
12123,4,15 - 40,,,
12124,5,30 - 40,,,
12125,1,0 - 15,,,
12126,2,15 - 15,,,
12127,3,30 - 15,,,
12128,4,40 - 15,,,
12129,1,0 - 15,,,
12130,2,0 - 30,,,
12131,3,0 - 40,,,
12132,4,15 - 40,,,
12133,5,30 - 40,,,
12134,1, - ,,,
12135,1,15 - 0,,,
12136,2,15 - 15,,,
12137,3,15 - 30,,,
12138,4,30 - 30,,,
12139,5,40 - 30,First Play,,
12140,1,15 - 0,,,
12141,2,30 - 0,,,
12142,3,30 - 15,,,
12143,4,40 - 15,,,
12144,1,0 - 15,,,
12145,2,0 - 30,,,
12146,3,15 - 30,,,
12147,4,15 - 40,,,
12148,5,30 - 40,,,
12149,1,0 - 15,,,
12150,2,15 - 15,,,
12151,3,15 - 30,,,
12152,4,15 - 40,First Play,,
12153,5,30 - 40,First Play,,
12154,6,40 - 40,,,
12155,7,A - 40,,,
12156,8,40 - 40,,,
12157,9,40 - A,First Play,,
12158,10,40 - 40,,,
12159,11,40 - A,First Play,,
12160,1,0 - 15,,,
12161,2,0 - 30,,,
12162,3,0 - 40,,,
12163,4,15 - 40,,,
12164,5,30 - 40,,,
12165,1,0 - 15,,,
12166,2,15 - 15,,,
12167,3,30 - 15,,,
12168,4,30 - 30,,,
12169,5,40 - 30,,,
12170,1,15 - 0,,,
12171,2,15 - 15,,,
12172,3,15 - 30,,,
12173,4,15 - 40,,,
12174,5,30 - 40,,,
12175,1,0 - 15,,,
12176,2,15 - 15,,,
12177,3,30 - 15,,,
12178,4,40 - 15,,,
12179,5,40 - 30,,,
12180,6,40 - 40,,,
12181,7,A - 40,,,
12182,8,40 - 40,,,
12183,9,A - 40,,,
12184,1,0 - 15,,,
12185,2,15 - 15,,,
12186,3,15 - 30,,,
12187,4,15 - 40,,,
12188,5,30 - 40,,,
12189,6,40 - 40,,,
12190,7,40 - A,,,
12191,8,40 - 40,,,
12192,9,40 - A,,,
12193,10,40 - 40,,,
12194,11,40 - A,,,
12195,12,40 - 40,,,
12196,13,40 - A,,,
12197,14,40 - 40,,,
12198,15,A - 40,First Play,,
12199,16,40 - 40,,,
12200,17,A - 40,First Play,,
12201,1,0 - 15,,,
12202,2,0 - 30,,,
12203,3,15 - 30,,,
12204,4,30 - 30,,,
12205,5,30 - 40,First Play,,
12206,1,15 - 0,,,
12207,2,15 - 15,,,
12208,3,15 - 30,,,
12209,4,15 - 40,,,
12210,5,30 - 40,,,
12211,6,40 - 40,,,
12212,7,A - 40,First Play,,
12213,1,15 - 0,,,
12214,2,15 - 15,,,
12215,3,30 - 15,,,
12216,4,30 - 30,,,
12217,5,30 - 40,First Play,,
12218,6,40 - 40,,,
12219,7,40 - A,First Play,,
12220,8,40 - 40,,,
12221,9,40 - A,First Play,,
12222,1, - ,,,
12223,1,0 - 15,,,
12224,2,0 - 30,,,
12225,3,15 - 30,,,
12226,4,30 - 30,,,
12227,5,40 - 30,,,
12228,1,15 - 0,,,
12229,2,15 - 15,,,
12230,3,30 - 15,,,
12231,4,40 - 15,First Play,,
12232,1,15 - 0,,,
12233,2,15 - 15,,,
12234,3,15 - 30,,,
12235,4,15 - 40,First Play,,
12236,5,30 - 40,First Play,,
12237,1,0 - 15,,,
12238,2,0 - 30,,,
12239,3,0 - 40,,,
12240,1,15 - 0,,,
12241,2,30 - 0,,,
12242,3,40 - 0,,,
12243,4,40 - 15,,,
12244,1,15 - 0,,,
12245,2,30 - 0,,,
12246,3,30 - 15,,,
12247,4,30 - 30,,,
12248,5,40 - 30,First Play,,
12249,6,40 - 40,,,
12250,7,A - 40,First Play,,
12251,8,40 - 40,,,
12252,9,40 - A,,,
12253,1,15 - 0,,,
12254,2,30 - 0,,,
12255,3,40 - 0,,,
12256,1,15 - 0,,,
12257,2,30 - 0,,,
12258,3,40 - 0,First Play,,
12259,4,40 - 15,First Play,,
12260,5,40 - 30,First Play,,
12261,1,15 - 0,,,
12262,2,15 - 15,,,
12263,3,15 - 30,,,
12264,4,15 - 40,First Play,,
12265,5,30 - 40,First Play,,
12266,1,0 - 15,,,
12267,2,15 - 15,,,
12268,3,15 - 30,,,
12269,4,30 - 30,,,
12270,5,30 - 40,,,
12271,6,40 - 40,,,
12272,7,A - 40,First Play,First Play,First Play
12273,8,40 - 40,,,
12274,9,40 - A,,,
12275,1,0 - 15,,,
12276,2,15 - 15,,,
12277,3,30 - 15,,,
12278,4,40 - 15,,,
12279,1,0 - 15,,,
12280,2,0 - 30,,,
12281,3,0 - 40,,,
12282,4,15 - 40,,,
12283,1, - ,,,
12284,1,15 - 0,,,
12285,2,30 - 0,,,
12286,3,30 - 15,,,
12287,4,30 - 30,,,
12288,5,40 - 30,,,
12289,1,0 - 15,,,
12290,2,0 - 30,,,
12291,3,15 - 30,,,
12292,4,15 - 40,,,
12293,5,30 - 40,,,
12294,1,15 - 0,,,
12295,2,15 - 15,,,
12296,3,30 - 15,,,
12297,4,30 - 30,,,
12298,5,40 - 30,,,
12299,6,40 - 40,,,
12300,7,40 - A,First Play,,
12301,8,40 - 40,,,
12302,9,A - 40,,,
12303,10,40 - 40,,,
12304,11,40 - A,First Play,,
12305,12,40 - 40,,,
12306,13,A - 40,,,
12307,1,0 - 15,,,
12308,2,0 - 30,,,
12309,3,0 - 40,,,
12310,4,15 - 40,,,
12311,1,15 - 0,,,
12312,2,30 - 0,,,
12313,3,40 - 0,,,
12314,1,0 - 15,,,
12315,2,15 - 15,,,
12316,3,15 - 30,,,
12317,4,15 - 40,,,
12318,1,15 - 0,,,
12319,2,15 - 15,,,
12320,3,30 - 15,,,
12321,4,40 - 15,,,
12322,5,40 - 30,,,
12323,1,0 - 15,,,
12324,2,15 - 15,,,
12325,3,15 - 30,,,
12326,4,30 - 30,,,
12327,5,30 - 40,,,
12328,1,0 - 15,,,
12329,2,15 - 15,,,
12330,3,30 - 15,,,
12331,4,30 - 30,,,
12332,5,40 - 30,,,
12333,6,40 - 40,,,
12334,7,40 - A,First Play,,
12335,8,40 - 40,,,
12336,9,A - 40,,,
12337,1,0 - 15,,,
12338,2,0 - 30,,,
12339,3,0 - 40,,,
12340,4,15 - 40,,,
12341,1,15 - 0,,,
12342,2,15 - 15,,,
12343,3,30 - 15,,,
12344,4,30 - 30,,,
12345,5,30 - 40,First Play,,
12346,1,15 - 0,,,
12347,2,15 - 15,,,
12348,3,15 - 30,,,
12349,4,30 - 30,,,
12350,5,40 - 30,First Play,,
12351,6,40 - 40,,,
12352,7,40 - A,,,
12353,1,0 - 15,,,
12354,2,15 - 15,,,
12355,3,15 - 30,,,
12356,4,30 - 30,,,
12357,5,30 - 40,First Play,,
12358,6,40 - 40,,,
12359,7,A - 40,,,
12360,8,40 - 40,,,
12361,9,A - 40,,,
12362,1,0 - 15,,,
12363,2,0 - 30,,,
12364,3,0 - 40,,,
12365,1,15 - 0,,,
12366,2,15 - 15,,,
12367,3,15 - 30,,,
