point_id,number_point,score,break_point,set_point,match_point
239,6,40 - 40,,,
240,7,A - 40,First Play,,
241,8,40 - 40,,,
242,9,40 - A,,,
243,10,40 - 40,,,
244,11,A - 40,First Play,,
245,12,40 - 40,,,
246,13,40 - A,,,
247,1,0 - 15,,,
248,2,0 - 30,,,
249,3,15 - 30,,,
250,4,30 - 30,,,
251,5,40 - 30,,,
252,1,15 - 0,,,
253,2,15 - 15,,,
254,3,30 - 15,,,
255,4,30 - 30,,,
256,5,40 - 30,First Play,,
257,1,0 - 15,,,
258,2,0 - 30,,,
259,3,0 - 40,First Play,,
260,4,15 - 40,First Play,,
261,1,0 - 15,,,
262,2,15 - 15,,,
263,3,15 - 30,,,
264,4,15 - 40,,,
265,5,30 - 40,,,
266,1,15 - 0,,,
267,2,30 - 0,,,
268,3,40 - 0,,,
269,4,40 - 15,,,
270,1,0 - 15,,,
271,2,0 - 30,,,
272,3,15 - 30,,,
273,4,15 - 40,,,
274,1,15 - 0,,,
275,2,30 - 0,,,
276,3,40 - 0,,,
277,1,0 - 15,,,
278,2,0 - 30,,,
279,3,0 - 40,,,
280,4,15 - 40,,,
281,1,0 - 15,,,
282,2,15 - 15,,,
283,3,30 - 15,,,
284,4,30 - 30,,,
285,5,40 - 30,,,
286,1, - ,,,
287,1,15 - 0,,,
288,2,15 - 15,,,
289,3,30 - 15,,,
290,4,30 - 30,,,
291,5,40 - 30,First Play,,
292,6,40 - 40,,,
293,7,A - 40,First Play,,
294,8,40 - 40,,,
295,9,A - 40,First Play,,
296,10,40 - 40,,,
297,11,40 - A,,,
298,12,40 - 40,,,
299,13,40 - A,,,
300,1,0 - 15,,,
301,2,0 - 30,,,
302,3,15 - 30,,,
303,4,30 - 30,,,
304,5,40 - 30,,,
305,1,15 - 0,,,
306,2,15 - 15,,,
307,3,15 - 30,,,
308,4,30 - 30,,,
309,5,30 - 40,,,
310,1,15 - 0,,,
311,2,30 - 0,,,
312,3,40 - 0,,,
313,4,40 - 15,,,
314,5,40 - 30,,,
315,6,40 - 40,,,
316,7,A - 40,,,
317,8,40 - 40,,,
318,9,A - 40,,,
319,1,15 - 0,,,
320,2,30 - 0,,,
321,3,30 - 15,,,
322,4,30 - 30,,,
323,5,30 - 40,,,
324,1,15 - 0,,,
325,2,15 - 15,,,
326,3,30 - 15,,,
327,4,30 - 30,,,
328,5,30 - 40,First Play,,
329,1,15 - 0,,,
330,2,15 - 15,,,
331,3,15 - 30,,,
332,4,15 - 40,,,
333,1,15 - 0,,,
334,2,15 - 15,,,
335,3,30 - 15,,,
336,4,30 - 30,,,
337,5,40 - 30,,,
338,1,0 - 15,,,
339,2,0 - 30,,,
340,3,15 - 30,,,
341,4,15 - 40,,,
342,5,30 - 40,,,
343,6,40 - 40,,,
344,7,A - 40,First Play,,
345,8,40 - 40,,,
346,9,40 - A,,,
347,1,15 - 0,,,
348,2,30 - 0,,,
349,3,30 - 15,,,
350,4,40 - 15,,,
351,5,40 - 30,,,
352,1,15 - 0,,,
353,2,30 - 0,,,
354,3,30 - 15,,,
355,4,40 - 15,First Play,,
356,1,0 - 15,,,
357,2,0 - 30,,,
358,3,15 - 30,,,
359,4,15 - 40,First Play,,
360,1,0 - 15,,,
361,2,0 - 30,,,
362,3,0 - 40,,,
363,1,0 - 15,,,
364,2,0 - 30,,,
365,3,0 - 40,First Play,,
366,4,15 - 40,First Play,,
367,1,0 - 15,,,
368,2,15 - 15,,,
369,3,15 - 30,,,
370,4,15 - 40,,,
371,5,30 - 40,,,
372,6,40 - 40,,,
373,7,A - 40,First Play,,
374,8,40 - 40,,,
375,9,40 - A,,,
376,1,0 - 15,,,
377,2,0 - 30,,,
378,3,0 - 40,First Play,,
379,4,15 - 40,First Play,,
380,5,30 - 40,First Play,,
381,1,15 - 0,,,
382,2,15 - 15,,,
383,3,15 - 30,,,
384,4,15 - 40,,First Play,First Play
385,1,15 - 0,,,
386,2,15 - 15,,,
387,3,30 - 15,,,
388,4,30 - 30,,,
389,5,30 - 40,,,
390,6,40 - 40,,,
391,7,A - 40,First Play,,
392,8,40 - 40,,,
393,9,40 - A,,,
394,1,0 - 15,,,
395,2,0 - 30,,,
396,3,15 - 30,,,
397,4,15 - 40,First Play,,
398,5,30 - 40,First Play,,
399,1,0 - 15,,,
400,2,0 - 30,,,
401,3,15 - 30,,,
402,4,30 - 30,,,
403,5,40 - 30,First Play,,
404,1,15 - 0,,,
405,2,15 - 15,,,
406,3,30 - 15,,,
407,4,30 - 30,,,
408,5,30 - 40,First Play,,
409,6,40 - 40,,,
410,7,40 - A,First Play,,
411,1,15 - 0,,,
412,2,15 - 15,,,
413,3,15 - 30,,,
414,4,30 - 30,,,
415,5,30 - 40,,,
416,6,40 - 40,,,
417,7,40 - A,,,
418,1,15 - 0,,,
419,2,30 - 0,,,
420,3,30 - 15,,,
421,4,30 - 30,,,
422,5,40 - 30,,,
423,1,0 - 15,,,
424,2,15 - 15,,,
425,3,30 - 15,,,
426,4,30 - 30,,,
427,5,30 - 40,,,
428,6,40 - 40,,,
429,7,40 - A,,,
430,8,40 - 40,,,
431,9,40 - A,,,
432,10,40 - 40,,,
433,11,A - 40,First Play,,
434,12,40 - 40,,,
435,13,A - 40,First Play,,
